City_ID,city,country,max temp,Weather description,lat,lng,Hotel Name
130,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
131,Paita,PE,69.3,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
136,La Ronge,CA,64.62,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
140,Muros,ES,66.09,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
143,Namibe,AO,65.41,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
145,Airai,TL,56.25,few clouds,-8.9266,125.4092,Juvinal Martin
148,Taksimo,RU,59.09,light rain,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
149,Pombas,CV,74.98,scattered clouds,17.1503,-25.0201,Paul Paradis
152,Zhaotong,CN,62.38,overcast clouds,27.3167,103.7167,Jingguan Home
157,Sarahan,IN,64.94,broken clouds,31.5167,77.8,OYO 39328 Bushahr Heights
158,Sao Pedro Do Sul,BR,66.65,clear sky,-29.6206,-54.1789,Sítio Hotel e Eventos
159,Cap Malheureux,MU,70.29,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
160,Leh,IN,64.54,few clouds,34.1667,77.5833,Hotel Ladakh Greens
163,Rivne,UA,61.84,overcast clouds,50.6231,26.2274,Myr Hotel
166,Deputatskiy,RU,53.69,overcast clouds,69.3,139.9,Baza Otdykha
167,Lanzhou,CN,72.7,clear sky,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
168,Mujiayingzi,CN,68.63,broken clouds,42.1167,118.7833,Jinjiang Hotel
172,Dunedin,NZ,50.81,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
173,Qianan,CN,73.26,clear sky,44.9932,124.0581,Qian'an Hotel
176,Khislavichi,RU,57.25,light rain,54.1871,32.1582,Stolik Na Gorke
179,Geraldton,AU,56.12,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
180,Nome,US,52.16,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
181,Asau,RO,62.4,few clouds,46.4333,26.4,Casa Mika Ciobanus
183,Odweyne,SO,72.37,overcast clouds,9.4092,45.064,Eng Hiirey House
190,Noumea,NC,69.01,few clouds,-22.2763,166.4572,Hôtel Le Lagon
191,Portree,GB,66.85,overcast clouds,57.4129,-6.1942,The Royal Hotel
195,Kualakapuas,ID,73.56,overcast clouds,-3.0091,114.3876,Guest House Izonk
198,Souillac,MU,70.18,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
200,Tianmen,CN,73.87,overcast clouds,30.6516,113.1603,Tianmen Luyu Hotel
203,Ampanihy,MG,60.91,scattered clouds,-24.7,44.75,Angora Hotel
205,Soe,ID,60.08,clear sky,-9.8607,124.284,Dena Hotel
213,Batemans Bay,AU,51.19,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
214,Sistranda,NO,53.91,overcast clouds,63.7256,8.834,Hotell Frøya
216,Luau,AO,64.02,scattered clouds,-10.7073,22.2247,Casa- Bernardo Cândido
217,Nikolskoye,RU,61.81,overcast clouds,59.7035,30.7861,Tourist House - Sablino
221,Vestmannaeyjar,IS,52.79,light intensity drizzle,63.4427,-20.2734,Glamping & Camping
222,Maragogi,BR,74.75,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
228,Gravdal,NO,51.69,light rain,68.1214,13.5031,Skreda Rorbusuiter
230,Gornopravdinsk,RU,55.17,broken clouds,60.05,69.9,Burovik
233,Nemuro,JP,61.56,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
236,Bouar,CF,64.45,light rain,5.934,15.596,Motel de l'UNITE
240,Norman Wells,CA,59.04,overcast clouds,65.282,-126.8329,Heritage Hotel
241,Kushmurun,KZ,70.65,overcast clouds,52.4503,64.6311,Gostinitsa Pri Depo
243,Pontypridd,GB,71.82,overcast clouds,51.6021,-3.3421,Heritage Park Hotel
248,Sao Jose Dos Pinhais,BR,60.73,clear sky,-25.5347,-49.2064,Mercure Curitiba Aeroporto Hotel
249,Chumikan,RU,58.89,broken clouds,54.7183,135.315,Fortuna
252,Sibu,MY,74.28,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
254,Vila,PT,55.74,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
257,Petropavlovsk-Kamchatskiy,RU,54.19,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
259,Atherton,GB,66.27,overcast clouds,53.5237,-2.4935,The Lion Inn
261,Burgos,ES,70.21,clear sky,42.3394,-3.7079,Hotel Corona de Castilla (Sercotel)
264,Challapata,BO,54.48,few clouds,-18.9,-66.7667,HOSTAL MARIAN
265,Boyolangu,ID,73.22,broken clouds,-8.1181,111.8935,Yos ega cv
267,Kodyma,UA,62.35,few clouds,48.0988,29.1246,"Hotel ""Kodyma"""
268,Rebrikha,RU,64.36,light rain,53.0733,82.3408,Sibiryak
270,Krasnoselkup,RU,69.17,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
271,De-Kastri,RU,64.26,overcast clouds,51.4667,140.7833,Somon Hotel
272,Sorochinsk,RU,67.59,overcast clouds,52.4338,53.1583,Hotel Skazka
274,Bahia Blanca,AR,52.09,overcast clouds,-38.7196,-62.2724,Hotel Argos
276,Lagoa,PT,70.27,overcast clouds,39.05,-27.9833,Casa Das Faias
277,Flinders,AU,51.39,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
282,Mar Del Plata,AR,62.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
285,Husavik,IS,59.58,broken clouds,66.0449,-17.3389,Bjarnabúð
287,Kupang,ID,70.83,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
288,Xichang,CN,65.41,moderate rain,27.8964,102.2634,Xichang ibis Hotel
289,Waingapu,ID,70.34,clear sky,-9.6567,120.2641,Pondok Wisata Elim
293,Soubre,CI,73.17,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
294,Zemio,CF,69.73,light rain,5.0314,25.1361,OCHA Office
295,Fortuna,US,71.85,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
297,Halifax,CA,71.35,light rain,44.6453,-63.5724,Hotel Halifax
298,Sept-Iles,CA,66.25,overcast clouds,50.2001,-66.3821,Comfort Inn
299,Nanyuki,KE,59.81,broken clouds,0.0167,37.0728,Lions Court Lodge
300,Karratha,AU,69.04,clear sky,-20.7377,116.8463,ibis Styles Karratha
301,Rabo De Peixe,PT,69.31,scattered clouds,37.8,-25.5833,Quinta das Giestas
303,Komsomolskiy,UZ,74.62,clear sky,40.4272,71.7189,Ikathouse
304,Puerto Baquerizo Moreno,EC,72.25,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
308,Aljezur,PT,63.45,clear sky,37.3191,-8.8033,Amazigh Hostel
309,Lidkoping,SE,62.91,clear sky,58.5052,13.1577,Hotell Läckö - GRAND HOTEL
310,Espinosa,BR,73.33,broken clouds,-14.9261,-42.8192,Hotel Vilma
312,Tatarsk,RU,64.18,clear sky,55.219,75.9828,Gostinitsa Neptun Tatarsk
314,Los Llanos De Aridane,ES,69.55,few clouds,28.6585,-17.9182,Valle Aridane
315,Richards Bay,ZA,60.49,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
316,Tynne,UA,61.75,overcast clouds,50.6015,26.1849,Khutir
318,Smirnykh,RU,69.84,overcast clouds,49.75,142.8333,Tsentral'naya
320,Port Lincoln,AU,52.65,few clouds,-34.7333,135.8667,Port Lincoln Hotel
325,Khandyga,RU,62.4,light rain,62.6667,135.6,Apel'sin
327,Bradford,GB,64.54,broken clouds,53.7939,-1.7521,The Bradford Hotel
328,Vila Velha,BR,69.48,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
331,Port Hardy,CA,59.18,overcast clouds,50.6996,-127.4199,Airport Inn
335,Sri Aman,MY,74.57,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
336,Qaqortoq,GL,57.7,clear sky,60.7167,-46.0333,Hotel Qaqortoq
338,Uyskoye,RU,59.04,light rain,54.3775,60.0047,Niva
341,Poum,NC,71.49,clear sky,-20.2333,164.0167,Gîte kajeon
344,Lopukhiv,UA,58.3,overcast clouds,48.3653,23.9638,"Yalynka, Turystychnyy Kompleks"
345,Ahipara,NZ,52.32,clear sky,-35.1667,173.1667,Ahipara Holiday Park
347,Marsabit,KE,69.96,few clouds,2.3284,37.9899,Chicho Hotel
348,Porto Belo,BR,64.09,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
